name,brand,imageUrl,price,category,sub_category,type,stock,unit,discount
Kissan Tomato Ketchup,Kissan,kissan_tomato_ketchup.png,69,Sauces & Spreads,Ketchup,Bottle,26,200 gm,5
Garam Masala,MDH,mdh_garam_masala.png,67,Masale,Garam Masala,Pack,31,100 gm,10
Kurkure Chilli Chatka,Kurkure,kurkure_chilli_chatka.png,35,Snacks,Namkeen,Pack,35,55 gm,0
Kala Chana,Organic India,organic_india_kala_chana.png,83,Dal,Kala Chana,Pack,19,1 kg,10
Lal Mirch Powder,SDS,sds_lal_mirch_powder.png,70,Masale,Mirch,Pack,40,100 gm,0
Patanjali Sooji,Patanjali,patanjali_sooji.png,66,Grains,Sooji,Pack,23,500 gm,5
MTR Poha,MTR,mtr_poha.png,60,Ready to Eat,Poha,Pack,19,60 gm,0
Dabur Red Toothpaste,Dabur,dabur_red_toothpaste.png,67,Personal Care,Toothpaste,Tube,23,100 gm,0
Haldi Powder,SDS,sds_haldi_powder.png,29,Masale,Haldi,Pack,49,100 gm,5
Bhujia Sev,Bikaji,bikaji_bhujia_sev.png,40,Snacks,Namkeen,Pack,25,200 gm,0
Cheese,Amul,amul_cheese.png,132,Dairy,Cheese,Pack,10,200 gm,0
Urad Dal,Tata Sampann,tata_sampann_urad_dal.png,96,Dal,Urad Dal,Pack,23,1 kg,0
Mother Dairy Classic Dahi,Mother Dairy,mother_dairy_classic_dahi.png,60,Dairy,Dahi,Pack,20,400 gm,0
Marie Gold Biscuit,Britannia,britannia_marie_gold_biscuit.png,37,Snacks,Biscuit,Pack,43,200 gm,0
Lal Mirch Powder,SDS,sds_lal_mirch_powder.png,76,Masale,Mirch,Pack,46,100 gm,0
Lays Magic Masala,Lays,lays_magic_masala.png,20,Snacks,Chips,Pack,40,52 gm,0
Dhaniya Powder,SDS,sds_dhaniya_powder.png,50,Masale,Dhaniya,Pack,36,100 gm,0
Basmati Chawal,Daawat,daawat_basmati_chawal.png,196,Grains,Chawal,Bag,20,1 kg,0
Brown Rice,India Gate,india_gate_brown_rice.png,134,Grains,Chawal,Bag,16,1 kg,0
Frooti,Parle Agro,parle_agro_frooti.png,20,Drinks,Mango Drink,Tetra Pak,37,160 ml,0
Kala Chana,Organic India,organic_india_kala_chana.png,84,Dal,Kala Chana,Pack,16,1 kg,5
Dabur Red Toothpaste,Dabur,dabur_red_toothpaste.png,47,Personal Care,Toothpaste,Tube,31,100 gm,10
Chana Dal,Fortune,fortune_chana_dal.png,72,Dal,Chana Dal,Pack,34,1 kg,0
Moong Dal,Organic India,organic_india_moong_dal.png,134,Dal,Moong Dal,Pack,25,1 kg,0
Basmati Chawal,India Gate,india_gate_basmati_chawal.png,190,Grains,Chawal,Bag,20,1 kg,5
Chaat Masala,Catch,catch_chaat_masala.png,50,Masale,Chaat Masala,Pack,22,100 gm,0
Groundnut Oil,Dhara,dhara_groundnut_oil.png,186,Oils,Groundnut Oil,Bottle,7,1 ltr,0
Dahi,Amul,amul_dahi.png,71,Dairy,Dahi,Pack,22,400 gm,0
Brown Rice,India Gate,india_gate_brown_rice.png,122,Grains,Chawal,Bag,14,1 kg,0
Patanjali Dant Kanti,Patanjali,patanjali_dant_kanti.png,42,Personal Care,Toothpaste,Tube,20,100 gm,0
Jeera Powder,SDS,sds_jeera_powder.png,71,Masale,Jeera,Pack,33,100 gm,10
