name,brand,imageUrl,price,category,sub_category,type,stock,unit,discount
MDH Haldi Powder,MDH,https://cdn.jsdelivr.net/gh/WhiteWolf2077/imagess/images/mdh_mdh_haldi_powder.jpg,239.95,masala,haldi_powder,grocery,26,500g,3
MDH Lal Mirch Powder,MDH,https://cdn.jsdelivr.net/gh/WhiteWolf2077/imagess/images/mdh_mdh_lal_mirch_powder.jpg,113.86,masala,lal_mirch_powder,grocery,113,500g,2
MDH Dhaniya Powder,MDH,https://cdn.jsdelivr.net/gh/WhiteWolf2077/imagess/images/mdh_mdh_dhaniya_powder.jpg,154.32,masala,dhaniya_powder,grocery,122,500g,9
MDH Jeera Powder,MDH,https://cdn.jsdelivr.net/gh/WhiteWolf2077/imagess/images/mdh_mdh_jeera_powder.jpg,87.08,masala,jeera_powder,grocery,156,500g,2
MDH Garam Masala,MDH,https://cdn.jsdelivr.net/gh/WhiteWolf2077/imagess/images/mdh_mdh_garam_masala.jpg,160.73,masala,garam_masala,grocery,114,500g,0
MDH Chole Masala,MDH,https://cdn.jsdelivr.net/gh/WhiteWolf2077/imagess/images/mdh_mdh_chole_masala.jpg,90.88,masala,chole_masala,grocery,123,500g,1
MDH Pav Bhaji Masala,MDH,https://cdn.jsdelivr.net/gh/WhiteWolf2077/imagess/images/mdh_mdh_pav_bhaji_masala.jpg,239.63,masala,pav_bhaji_masala,grocery,157,500g,3
MDH Kitchen King,MDH,https://cdn.jsdelivr.net/gh/WhiteWolf2077/imagess/images/mdh_mdh_kitchen_king.jpg,210.65,masala,kitchen_king,grocery,70,500g,0
MDH Meat Masala,MDH,https://cdn.jsdelivr.net/gh/WhiteWolf2077/imagess/images/mdh_mdh_meat_masala.jpg,117.59,masala,meat_masala,grocery,79,500g,10
MDH Sabzi Masala,MDH,https://cdn.jsdelivr.net/gh/WhiteWolf2077/imagess/images/mdh_mdh_sabzi_masala.jpg,260.53,masala,sabzi_masala,grocery,156,500g,8
MDH Sambhar Masala,MDH,https://cdn.jsdelivr.net/gh/WhiteWolf2077/imagess/images/mdh_mdh_sambhar_masala.jpg,61.63,masala,sambhar_masala,grocery,31,500g,6
