name,brand,imageUrl,price,category,sub_category,type,stock,unit,discount
kirana8 ,Amul,type,232.02,grocery,_RARE_,grocery,135,1kg,10
0,Mother Dairy,SDS,88.54,dairy,_RARE_,grocery,109,1kg,1
,India Gate,subgroceryfull,235.83,grocery,_RARE_,grocery,28,500g,8
3 ,Amul,: ,159.43,dairy,_RARE_,grocery,43,1kg,8
: ,Tata,: ,234.35,dairy,_RARE_,grocery,89,500g,0
",_",SDS,masala,55.13,masala,_RARE_,grocery,81,1kg,1
},Aashirvaad,./: ,81.6,grocery,_RARE_,grocery,100,500g,4
:jsdelivr.jsdelivrkirana,Badshah, ,201.47,_RARE_,_RARE_,grocery,20,1kg,0
1abrand,Fortune,price,91.25,masala,_RARE_,grocery,194,1kg,7
",_.gh",Nestle,brand,85.81,masala,_RARE_,grocery,193,500g,3
{_i,_RARE_,", ",73.79,masala,_RARE_,grocery,109,500g,4
":price 10, ",MDH,: ,291.41,grocery,_RARE_,grocery,176,500g,5
brand.net,Aashirvaad,":gh,https 1.///3imagess/3.jsdelivrjsdelivr//{//,imagesimagess/ Masalajpg_/,,imagessfull2 ",291.44,grocery,_RARE_,grocery,143,1kg,1
: ,SDS,: ,223.5,grocery,_RARE_,grocery,69,500g,6
"unit0, ",Tata,", ",53.1,masala,_RARE_,grocery,20,1kg,10
brand,Aashirvaad,500g{,118.4,_RARE_,_RARE_,grocery,195,500g,10
 ,MDH,full,214.86,grocery,_RARE_,grocery,157,500g,8
_,SDS,: ,174.2,grocery,_RARE_,grocery,142,1kg,10
",",Gowardhan,0 ,81.38,grocery,_RARE_,grocery,166,500g,7
_{ ,India Gate,s,48.3,dairy,_RARE_,grocery,73,500g,2
: ,Nestle,fulldiscount: ,291.19,masala,_RARE_,grocery,24,500g,9
: ,Badshah,", ",235.75,grocery,_RARE_,grocery,15,500g,2
}kirana.,Gowardhan,", kirana",172.67,grocery,_RARE_,grocery,167,500g,2
_ 1imagess_type,Fortune,:2. ,275.28,dairy,_RARE_,grocery,126,500g,2
:/priceitems,Goldiee,,39.05,grocery,_RARE_,grocery,122,500g,5
,SDS, ,280.45,grocery,_RARE_,grocery,28,1kg,6
", ",Gowardhan,brand: ,74.41,masala,_RARE_,grocery,195,500g,1
name ,Aashirvaad,discount,132.39,masala,_RARE_,grocery,125,1kg,1
:: net,_RARE_,:nameunit_,184.51,grocery,_RARE_,grocery,119,1kg,8
", ",Catch,,156.22,masala,_RARE_,grocery,53,500g,4
grocery/ ,Goldiee,: ,221.5,_RARE_,_RARE_,grocery,118,500g,5
: ,Mother Dairy,type,48.51,dairy,_RARE_,grocery,173,500g,5
:netimageUrl.category,Mother Dairy,grocery,206.69,_RARE_,_RARE_,grocery,155,500g,8
